t,y1,y2,y3,y4
0.0000000000e+00,1.7600000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0000000000e-07,1.7600000000e-03,6.9432000000e-19,6.9432000000e-19,0.0000000000e+00
1.0000000000e-06,1.7600000000e-03,1.3886400000e-18,1.3819189824e-18,6.7210176000e-21
1.5000000000e-06,1.7600000000e-03,2.0829600000e-18,2.0628658040e-18,2.0094195975e-20
2.0000000000e-06,1.7600000000e-03,2.7772800000e-18,2.7372286163e-18,4.0051383737e-20
2.5000000000e-06,1.7600000000e-03,3.4716000000e-18,3.4050748723e-18,6.6525127711e-20
3.0000000000e-06,1.7600000000e-03,4.1659200000e-18,4.0664713342e-18,9.9448665777e-20
3.5000000000e-06,1.7600000000e-03,4.8602400000e-18,4.7214840802e-18,1.3875591980e-19
4.0000000000e-06,1.7600000000e-03,5.5545600000e-18,5.3701785114e-18,1.8438148860e-19
4.5000000000e-06,1.7600000000e-03,6.2488800000e-18,6.0126193590e-18,2.3626064105e-19
5.0000000000e-06,1.7600000000e-03,6.9432000000e-18,6.6488706908e-18,2.9432930918e-19
5.5000000000e-06,1.7600000000e-03,7.6375200000e-18,7.2789959186e-18,3.5852408141e-19
6.0000000000e-06,1.7600000000e-03,8.3318400000e-18,7.9030578042e-18,4.2878219579e-19
6.5000000000e-06,1.7600000000e-03,9.0261600000e-18,8.5211184666e-18,5.0504153340e-19
7.0000000000e-06,1.7600000000e-03,9.7204800000e-18,9.1332393883e-18,5.8724061169e-19
7.5000000000e-06,1.7600000000e-03,1.0414800000e-17,9.7394814220e-18,6.7531857802e-19
8.0000000000e-06,1.7600000000e-03,1.1109120000e-17,1.0339904797e-17,7.6921520319e-19
8.5000000000e-06,1.7600000000e-03,1.1803440000e-17,1.0934569125e-17,8.6887087503e-19
9.0000000000e-06,1.7600000000e-03,1.2497760000e-17,1.1523533408e-17,9.7422659212e-19
9.5000000000e-06,1.7600000000e-03,1.3192080000e-17,1.2106856043e-17,1.0852239575e-18
1.0000000000e-05,1.7600000000e-03,1.3886400000e-17,1.2684594828e-17,1.2018051724e-18
1.0500000000e-05,1.7600000000e-03,1.4580720000e-17,1.3256806970e-17,1.3239130304e-18
1.1000000000e-05,1.7600000000e-03,1.5275040000e-17,1.3823549089e-17,1.4514909110e-18
1.1500000000e-05,1.7600000000e-03,1.5969360000e-17,1.4384877226e-17,1.5844827739e-18
1.2000000000e-05,1.7600000000e-03,1.6663680000e-17,1.4940846847e-17,1.7228331526e-18
1.2500000000e-05,1.7600000000e-03,1.7358000000e-17,1.5491512851e-17,1.8664871494e-18
1.3000000000e-05,1.7600000000e-03,1.8052320000e-17,1.6036929571e-17,2.0153904286e-18
