x,y,Ex,Ey,Ex_exact,Ey_exact
0.0104167,0.00520833,0.000133851,0.00135901,0.000535341,0.000535341
0.00520833,0.0104167,0.00135901,0.000133851,0.000535341,0.000535341
0.0260417,0.00520833,0.000535037,0.00298153,0.0013371,0.0013371
0.0208333,0.0104167,0.00336176,0.000957502,0.00213993,0.00213993
0.0416667,0.00520833,0.000934936,0.00459602,0.00213563,0.00213563
0.0364583,0.0104167,0.00535645,0.00177797,0.00373936,0.00373936
0.0572917,0.00520833,0.00133258,0.00619866,0.00292903,0.00292903
0.0520833,0.0104167,0.00733829,0.00259331,0.00532979,0.00532979
0.0729167,0.00520833,0.00172702,0.00778561,0.00371536,0.00371536
0.0677083,0.0104167,0.00930249,0.00340162,0.00690738,0.00690738
0.0885417,0.00520833,0.0021173,0.0093531,0.00449275,0.00449275
0.0833333,0.0104167,0.0112443,0.00420098,0.00846832,0.00846832
0.104167,0.00520833,0.00250247,0.0108974,0.00525931,0.00525931
0.0989583,0.0104167,0.0131591,0.0049895,0.0100089,0.0100089
0.119792,0.00520833,0.00288162,0.0124148,0.0060132,0.0060132
0.114583,0.0104167,0.0150423,0.00576534,0.0115253,0.0115253
0.135417,0.00520833,0.00325383,0.0139017,0.0067526,0.0067526
0.130208,0.0104167,0.0168892,0.00652665,0.013014,0.013014
0.151042,0.00520833,0.0036182,0.0153545,0.00747574,0.00747574
0.145833,0.0104167,0.0186955,0.00727163,0.0144713,0.0144713
0.166667,0.00520833,0.00397385,0.0167698,0.00818087,0.00818087
0.161458,0.0104167,0.0204567,0.00799853,0.0158937,0.0158937
0.182292,0.00520833,0.00431994,0.0181442,0.00886628,0.00886628
0.177083,0.0104167,0.0221688,0.00870563,0.0172779,0.0172779
0.197917,0.00520833,0.00465561,0.0194744,0.00953034,0.00953034
0.192708,0.0104167,0.0238274,0.00939125,0.0186204,0.0186204
0.213542,0.00520833,0.00498007,0.0207573,0.0101714,0.0101714
0.208333,0.0104167,0.0254287,0.0100538,0.0199181,0.0199181
0.229167,0.00520833,0.00529253,0.0219897,0.010788,0.010788
0.223958,0.0104167,0.0269688,0.0106916,0.0211678,0.0211678
0.244792,0.00520833,0.00559224,0.0231688,0.0113786,0.0113786
0.239583,0.0104167,0.0284439,0.0113033,0.0223665,0.0223665
0.260417,0.00520833,0.00587849,0.0242917,0.0119418,0.0119418
0.255208,0.0104167,0.0298505,0.0118874,0.0235113,0.0235113
0.276042,0.00520833,0.00615057,0.0253558,0.0124763,0.0124763
0.270833,0.0104167,0.0311852,0.0124425,0.0245995,0.0245995
